,breed,type.x,contact_state,State_Full,state,# of non-kill shelters,# of shelters, % big dog friendly rentals, %small dog friendly rentals,% dog owners
288,Boxer,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
289,Brittany Spaniel,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
290,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
291,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
292,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
293,Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
294,Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
295,Saint Bernard,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
296,Labrador Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
297,English Bulldog,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
298,Akita,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
299,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
300,Coonhound,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
301,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
302,Cocker Spaniel,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
303,Chihuahua,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
304,Saint Bernard,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
305,Labrador Retriever,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
306,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
307,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
308,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
309,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
310,Rat Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
311,Great Dane,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
312,Australian Shepherd,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
313,Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
314,Pit Bull Terrier,Dog,NV,Nevada,Nevada,23,29,44.7,66.6,36.8
315,Labrador Retriever,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
316,Labrador Retriever,Dog,AZ,Arizona,Arizona,37,62,48.1,70.5,43
